time_seconds,active_neutrons,visible_atoms,active_fragments
0.5,0,9600,0
1.0,1,9600,0
1.5,121,8110,120
2.0,291,6405,290
2.5,295,6402,294
3.0,295,6402,294
3.5,295,6402,294
4.0,309,6232,308
4.5,561,3343,560
5.0,579,3213,578
5.5,579,3213,578
6.0,579,3213,578
6.5,579,3213,462
7.0,581,3212,292
7.5,603,2934,308
8.0,737,1397,442
8.5,745,1372,450
9.0,855,75,548
9.5,863,29,310
10.0,863,29,284
10.5,863,29,284
11.0,863,29,284
11.5,863,29,284
12.0,863,29,282
12.5,863,29,262
13.0,863,29,128
13.5,865,25,120
14.0,865,25,14
14.5,865,25,2
15.0,865,25,2
15.5,865,25,2
16.0,865,25,2
16.5,865,25,2
17.0,865,25,2
17.5,865,25,2
18.0,865,25,2
18.5,865,25,0
19.0,865,25,0
19.5,865,25,0
20.0,867,22,2
